职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
Python开发工程师,3-5年,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,万兴科技股份有限公司,万兴科技股份有限公司,150-500人,移动互联网,"在线高并发,技术难度大,运维要求高",2018-04-02 16:50:16, 系统架构 系统开发, 股票期权 骨干配车 创业平台 餐饮补助
python开发工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,会分期,会找房（北京）网络技术有限公司,150-500人,移动互联网、金融,"股票期权,弹性工作制,行业龙头,地铁周边",2018-04-02 09:51:24, 信息安全 高级 中级 php MySQL, 节日礼物 股票期权 带薪年假 年度旅游
Python工程师,3-5年,本科,15k-25k,北京,海淀区,开发/测试/运维类,后端开发,群星科技,北京群星闪耀科技有限公司,15-50人,移动互联网,"扁平管理,精英团队,弹性办公,出国游",2018-03-26 20:23:13, Java 爬虫, 午餐补助 弹性工作 扁平管理 五险一金
Python 高级开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件","人工智能,黑科技,大牛多",2018-03-22 15:07:39, Java php MySQL, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
python研发工程师,5-10年,本科,30k-40k,北京,朝阳区,开发/测试/运维类,后端开发,国美金控,国美金控投资有限公司,2000人以上,金融,"大平台,新项目,领导卓越",2018-04-03 11:26:52, 云计算 Java C/C++ linux, 岗位晋升 扁平管理 五险一金 互联网金融
Python高级开发工程师,不限,本科,15k-30k,上海,长宁区,开发/测试/运维类,后端开发,爱奇艺,北京爱奇艺科技有限公司,2000人以上,"广告营销,文化娱乐",发展前景好,2018-03-08 18:01:45,, 绩效奖金 五险一金 交通补助 带薪年假
Python开发（环境好，氛围好）,1-3年,本科,8k-14k,上海,长宁区,开发/测试/运维类,后端开发,戎磐网络,上海戎磐网络科技有限公司,15-50人,信息安全、移动互联网,"环境好,氛围好",2018-04-03 17:50:25, 云计算 高级 php Java, 带薪年假 定期体检 节日礼物 五险一金
Python开发工程师,3-5年,本科,20k-30k,北京,海淀区,开发/测试/运维类,后端开发,学堂在线,北京慕华信息科技有限公司,150-500人,"移动互联网,教育","五险一金,餐补,生日会,优秀团队",2018-04-03 14:03:07, 资深 高级 linux Java, 节日礼物 股票期权 带薪年假 氛围轻松
技术工程部-python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,搜狗,北京搜狗科技发展有限公司,2000人以上,"移动互联网,数据服务",技术先进、团队气氛佳,2018-04-02 09:44:15, 信息安全 硬件制造 Java 运维, 岗位晋升 扁平管理 管理规范 精英团队
Python研发工程师,3-5年,大专,25k-35k,北京,朝阳区,开发/测试/运维类,后端开发,好巧,北京好巧国际旅行社有限公司,150-500人,数据服务,"商业保险,弹性工作,零食水果,扁平管理",2018-04-02 09:32:00, 后端开发 Java golang, 五险一金 弹性工作 扁平管理 百万医疗
Python工程师,1-3年,本科,10k-20k,深圳,福田区,开发/测试/运维类,后端开发,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,"移动互联网,金融","大平台,交通便利,环境优美,福利待遇好",2018-04-01 14:19:23, 金融 linux 数据分析 数据挖掘 Djadgo,
Python,1-3年,本科,5k-8k,深圳,南山区,技术,后端开发,花果山,深圳花果山科技有限公司,150-500人,电子商务,年轻富有活力的团队，稳步发展的创业公司。,2018-04-03 09:49:30, ERP, 年底双薪 团队建设 节日礼物 员工每月分红
Python开发工程师,不限,本科,13k-25k,上海,黄浦区,开发/测试/运维类,后端开发,谷露软件,上海谷露软件有限公司,50-150人,"数据服务,招聘","工程师文化,年轻,大牛,爽",2018-04-02 17:17:06, 后端开发 web 爬虫 服务器端 php Java, 团队融洽 股票期权 扁平管理 帅哥多
python开发工程师,1-3年,本科,9k-15k,西安,雁塔区,开发/测试/运维类,后端开发,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,信息安全,五险一金；弹性工作；餐补；定期体检,2018-03-28 15:50:14, 信息安全, 技能培训 节日礼物 股票期权 带薪年假
Python开发工程师,3-5年,本科,15k-30k,深圳,福田区,开发/测试/运维类,后端开发,万科物业,万科物业发展有限公司,2000人以上,"O2O,生活服务","平台好,空间大",2018-04-03 09:59:28, 资深 高级 中级 后端开发 redis, 社区o2o 原始股权 弹性工作制 互联网+
Python,1-3年,本科,8k-12k,成都,高新区,开发/测试/运维类,后端开发,捷云智慧,成都捷云智慧科技有限公司,15-50人,移动互联网,"绩效奖金,带薪年假",2018-04-03 09:51:09, 云计算 node.js django,
Python工程师,3-5年,本科,18k-30k,北京,东城区,技术,后端开发,家园网,金色家园网络科技有限公司,2000人以上,O2O,福利好，14薪,2018-04-02 11:04:41,, 节日礼物 带薪年假 绩效奖金 管理规范
python开发工程师,3-5年,本科,15k-20k,北京,海淀区,开发/测试/运维类,后端开发,嘉楠捷思,北京嘉楠捷思信息技术有限公司,150-500人,硬件,弹性,2018-04-02 08:50:48, 高级 中级 Java 架构, 带薪年假 定期体检 领导nice 八险一金
Python 开发工程师,3-5年,大专,8k-15k,成都,锦江区,开发/测试/运维类,后端开发,NEXA,昊盈信息技术（成都）有限公司,150-500人,"移动互联网,游戏","五险一金,带薪年假,年度体检,各种补贴",2018-04-02 08:36:41, 高级 中级 大数据 Java 云平台, 年底双薪 节日礼物 技能培训 绩效奖金
Python程序员,3-5年,本科,8k-15k,厦门,集美区,开发/测试/运维类,后端开发,金诚集团,浙江诚泽金开投资管理有限公司,2000人以上,金融,高级,2018-03-30 17:39:37, 大数据 Java, 技能培训 节日礼物 带薪年假 年度旅游
Python工程师,1-3年,不限,9k-18k,杭州,滨江区,开发/测试/运维类,后端开发,丁香园,观澜网络（杭州）有限公司,500-2000人,"医疗健康,企业服务",期权激励,2018-03-12 09:02:03, 后端开发, 扁平管理 弹性工作 期权
Python开发工程师,3-5年,本科,8k-16k,成都,高新区,开发/测试/运维类,后端开发,网信集团,网信集团有限公司,2000人以上,"移动互联网,金融","六险一金,弹性工作制,股票期权,饭补",2018-04-03 17:01:25, 高级 中级 算法 数据结构, 股票期权 午餐补助 定期体检 带薪年假
python工程师,1-3年,大专,8k-15k,上海,浦东新区,开发/测试/运维类,后端开发,江苏亿科达,上海海万信息科技股份有限公司,500-2000人,"移动互联网,金融","年终奖,过节费,旅游,体检",2018-04-03 14:30:49,,
Python研发工程师,3-5年,本科,15k-30k,上海,杨浦区,开发/测试/运维类,后端开发,DAOCLOUD,上海道客网络科技有限公司,150-500人,"企业服务,数据服务","15天年假,技术大牛,年终多薪,豪华团队",2018-04-03 10:30:36, 云计算 高级, 工程师文化 业界大牛 改变世界 豪华团队
Python工程师,1-3年,大专,10k-18k,杭州,余杭区,开发/测试/运维类,后端开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"云平台,大平台,牛人,新技术",2018-04-03 09:46:25, 后端开发, 带薪年假 计算机软件 管理规范 定期体检
python工程师,1-3年,不限,10k-15k,上海,徐汇区,开发/测试/运维类,后端开发,壤歌,上海壤歌市场营销策划有限公司,50-150人,"移动互联网,企业服务","弹性上班,技术氛围,技术驱动,福利多多",2018-04-02 10:33:19, 中级 爬虫, 股票期权 绩效奖金 岗位晋升 扁平管理
Python开发工程师,1-3年,大专,8k-12k,深圳,南山区,开发/测试/运维类,后端开发,奥飞游戏深圳分公司,上海奥飞游戏有限公司,150-500人,游戏,"靠谱团队,项目给力,福利多多",2018-03-31 18:19:52, linux php 运维,
python开发工程师,3-5年,本科,8k-10k,西安,雁塔区,开发/测试/运维类,后端开发,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,信息安全,五险一金；弹性工作；餐补；定期体检,2018-03-28 15:50:14, 信息安全 Java, 技能培训 节日礼物 股票期权 带薪年假
Python工程师,1-3年,本科,7K-14K,长沙,芙蓉区,开发/测试/运维类,软件开发,康通,湖南康通电子股份有限公司,150-500人,移动互联网,"五险一金,亲属关爱金,免费中晚餐,福利齐全",2018-03-27 09:55:04, 软件开发 算法 机器学习, 技能培训 效益奖金 岗位晋升 通讯津贴
Python开发工程师,不限,本科,8k-16k,北京,海淀区,开发/测试/运维类,后端开发,数盟网络,北京数字联盟网络科技有限公司,50-150人,"移动互联网,企业服务","地铁沿线,扁平管理,五险一金,弹性工作",2018-03-23 17:19:41, linux MySQL, 股票期权 绩效奖金 岗位晋升 带薪假期
Python开发工程师,1-3年,本科,10k-15k,成都,高新区,开发/测试/运维类,后端开发,俊云科技,昆明俊云科技有限公司,50-150人,"移动互联网,硬件","高薪资,丰厚年终奖,期权,百万级产品",2018-03-22 10:05:25, 旅游 游戏 文化娱乐 php Java, 技能培训 股票期权 绩效奖金 岗位晋升
Python开发工程师,3-5年,本科,17k-18k,北京,海淀区,开发/测试/运维类,后端开发,联想集团,联想（北京）有限公司,2000人以上,"移动互联网,数据服务",平台好 福利待遇优厚,2018-04-03 13:47:39,, 技能培训 待遇优厚 晋升空间 五险一金
Python研发工程师,5-10年,本科,25k-50k,北京,大兴区,开发/测试/运维类,后端开发,京东金融,京东金融,2000人以上,金融,餐补+年终奖+良好的晋升空间,2018-04-03 08:52:41, 大数据 数据挖掘 算法 机器学习, 供应链金融 消费金融 众筹业务 支付业务
高级Python开发,3-5年,本科,12k-24k,上海,徐汇区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"季度旅游,带薪年假,下午茶,股票期权",2018-04-02 14:38:14, 资深 web, 技能培训 节日礼物 年底双薪 绩效奖金
高级Python开发工程师,3-5年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件","人工智能,黑科技,大牛多",2018-03-22 15:07:40, 专家 Java, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
搜狐媒体-社交产品中心-Python工程师,1-3年,本科,20k-30k,北京,海淀区,开发/测试/运维类,后端开发,搜狐集团,北京搜狐新媒体信息技术有限公司,2000人以上,"移动互联网,广告营销",通行证业务,2018-04-03 10:39:19,, 节日礼物 项目奖金 弹性工作时间 15天年假
Python 研发工程师,1-3年,本科,8k-12k,成都,高新区,开发/测试/运维类,后端开发,实验楼,成都琛石科技有限公司,15-50人,"教育,数据服务","技术氛围,在线教育,最新技术",2018-04-02 18:04:16, 中级 初级 web node.js django, 绩效奖金 专项奖金 带薪年假 弹性工作
python工程师,3-5年,本科,15k-25k,上海,徐汇区,开发/测试/运维类,后端开发,上海青客,上海青客公共租赁住房租赁经营管理股份有限公司,500-2000人,"移动互联网,O2O",年终奖，加班补贴，工作环境,2018-04-02 17:54:28, 云计算 高级 大数据 数据分析 数据挖掘, 技能培训 年底双薪 专项奖金 股票期权
Python开发工程师,1-3年,本科,18k-25k,深圳,罗湖区,开发/测试/运维类,后端开发,众禄基金,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融","新三板挂牌,团队氛围,金融中心",2018-04-03 13:44:16, 金融 信息安全 中级 php web, 股票期权 绩效奖金 带薪年假 通讯津贴
Python研发工程师（中高级）,3-5年,本科,15k-25k,北京,朝阳区,技术,后端开发,掌阅,掌阅科技股份有限公司,500-2000人,移动互联网,"管理扁平化,发展机会佳,薪资待遇好",2018-04-03 10:11:58, 云计算, 专项奖金 带薪年假 年度旅游 扁平管理
django+saltstack+python/讲,3-5年,不限,15k-25k,北京,海淀区,开发/测试/运维类,测试,慕课网,北京奥鹏远程教育中心有限公司,50-150人,"移动互联网,教育","时间自由,收益分成,持续分成",2018-04-03 09:50:39, 资深 自动化, 节日礼物 技能培训 节日礼品卡 月度团建
python开发工程师,1-3年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,创新工场AI工程院,创新工场（北京）企业管理股份有限公司,50-150人,移动互联网,"谷歌大牛,商业资源,成长空间大,人工智能",2018-04-02 14:00:01, 中级 后端开发 C/C++ Postgres, 绩效奖金 带薪年假 通讯津贴 年终分红
Python工程师,不限,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,一面数据,深圳市一面网络技术有限公司,15-50人,"移动互联网,数据服务","大数据领域,人工智能,清华系大牛,技术氛围浓",2018-04-03 17:35:13, 大数据 AI, 技能培训 海归精英团队 Geek分享 绩效奖金
高级Python开发工程师,3-5年,本科,16k-22k,深圳,南山区,开发/测试/运维类,后端开发,明源云,深圳市明源云客电子商务有限公司,2000人以上,"移动互联网,企业服务",技术导向，牛人多，氛围赞，扁平管理,2018-04-03 14:18:50, PHP 大数据 Java hadoop, 高额六险一金 年底双薪 绩效奖金 N项经费
高级python开发工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,CIG,北京新意互动广告有限公司,500-2000人,广告营销,学习和创新型团队，扁平化管理，氛围open,2018-04-03 12:28:52, 云计算 汽车 后端开发 全栈, 年终分红 绩效奖金 五险一金 交通补助
Python开发,1-3年,本科,9k-16k,深圳,福田区,开发/测试/运维类,后端开发,金证股份,深圳市金证科技股份有限公司,2000人以上,金融,"上市公司,大型项目,年度调薪,薪资福利好",2018-04-03 09:07:21, php Java 统计 财经 自然语言处理, 激情的团队 股票期权 努力变大牛 有舞台给您跳
Python,3-5年,大专,15k-25k,深圳,南山区,开发/测试/运维类,后端开发,515游戏,深圳市五一五游戏网络有限公司,15-50人,游戏,"国内外旅游,五险一金,任性下午茶,年终奖金",2018-04-03 14:58:46, 游戏 专家 总监 资深 手游, 节日礼物 年底双薪 专项奖金 带薪年假
Python开发工程师,3-5年,本科,15k-25k,北京,海淀区,技术,后端开发,学堂在线,北京慕华信息科技有限公司,150-500人,"移动互联网,教育",股票期权，五险一金，交补餐补，零食水果,2018-04-03 14:24:54, 教育 tornado flask django, 节日礼物 股票期权 带薪年假 氛围轻松
Python开发工程师-base北京,3-5年,不限,12k-18k,北京,东城区,开发/测试/运维类,后端开发,游族网络,上海游族信息技术有限公司,500-2000人,"移动互联网,游戏",福利好、待遇好、上市公司,2018-04-03 14:19:50,, 五险一金 岗位晋升 弹性工作 扁平管理
python,3-5年,本科,20k-30k,北京,朝阳区,开发/测试/运维类,后端开发,The ONE,小叶子（北京）科技有限公司,150-500人,"硬件,教育","免费午晚餐,五险一金,交补,年终奖",2018-04-03 10:59:15, 高级 PHP 后端, 优秀团队 篮球羽毛球队 13薪 技术大牛多
Python资深开发工程师,3-5年,本科,12k-24k,上海,浦东新区,开发/测试/运维类,后端开发,君学中国,上海真己化人教育科技有限公司,150-500人,文化娱乐,"扁平化管理,办公环境好",2018-03-29 14:50:19, 教育 电商 媒体 php Java, 技能培训 带薪年假 岗位晋升 帅哥多
Python开发工程师,3-5年,大专,18k-25k,深圳,罗湖区,开发/测试/运维类,后端开发,众禄基金,深圳众禄基金销售股份有限公司,150-500人,"移动互联网,金融","团队氛围,高速发展,互联网金融,五险一金",2018-04-03 13:44:18, 金融 信息安全 php Java web, 股票期权 绩效奖金 带薪年假 通讯津贴
高级Python研发工程师,3-5年,本科,25k-35k,北京,朝阳区,开发/测试/运维类,后端开发,掌阅,掌阅科技股份有限公司,500-2000人,移动互联网,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大",2018-04-03 10:11:57, 云计算 Java 架构, 专项奖金 带薪年假 年度旅游 扁平管理
软件开发工程师（python）,1-3年,本科,10k-20k,北京,海淀区,开发/测试/运维类,软件开发,智海创讯,北京智海创讯信息技术有限公司,15-50人,数据服务,"电商,海量数据,创业创新",2018-04-03 11:37:38, 电商 中级 数据分析 数据挖掘, 技能培训 节日礼物 舆情监测 绩效奖金
Python 开发工程师,3-5年,本科,15k-17k,北京,西城区,开发/测试/运维类,软件开发,金证股份,深圳市金证科技股份有限公司,2000人以上,金融,"金融央企,五险一金",2018-04-02 17:18:39, 云计算 软件开发 大数据 Java, 激情的团队 股票期权 努力变大牛 有舞台给您跳
Python工程师-机器学习方向,1-3年,本科,20k-35k,北京,朝阳区,开发/测试/运维类,数据开发,曜辉科技,北京曜辉信息科技有限公司,15-50人,"移动互联网,企业服务","高成长,机会大,全额险金,有零食",2018-04-02 16:20:28, 中级 大数据 数据挖掘 算法, 弹性工作 领导好 扁平管理 快速成长
Python工程师,1-3年,不限,10k-20k,上海,徐汇区,开发/测试/运维类,后端开发,换手率,上海利莫网络科技有限公司,15-50人,金融,"免费体检,年终奖,带薪年假,高度自由",2018-03-28 13:10:03, 云计算 node.js php, 专项奖金 股票期权 带薪年假 年度旅游
Python工程师,3-5年,本科,20k-35k,北京,朝阳区,开发/测试/运维类,软件开发,企鹅创新,企鹅创新（北京）科技有限公司,15-50人,"硬件,移动互联网","五险一金,带薪年假,午餐报销",2018-04-02 16:06:39, 软件开发 node.js Java,
Python资深开发,3-5年,本科,12k-24k,上海,徐汇区,开发/测试/运维类,后端开发,问卷网@爱调研,上海众言网络科技有限公司,150-500人,移动互联网,"带薪年假,股票期权,下午茶,季度旅游",2018-04-02 14:38:14, 后端开发 web, 技能培训 节日礼物 年底双薪 绩效奖金
高级Python工程师,3-5年,本科,8k-16k,武汉,洪山区,开发/测试/运维类,软件开发,ZingFront智线,智线云科技（北京）有限公司,50-150人,"移动互联网,数据服务","带薪年假,福利多,办公环境好,氛围自由",2018-04-02 12:51:15, 软件开发 大数据, 绩效奖金 股票期权 带薪年假 弹性工作
python工程师,1-3年,本科,20k-40k,深圳,南山区,开发/测试/运维类,后端开发,笨鸟社交,厦门笨鸟电子商务有限公司,150-500人,企业服务,海量数据,2018-04-02 11:10:23, 爬虫 后端 初级 中级 搜索, 高新企业 扁平管理 五险一金 股票期权
Python开发工程师,3-5年,本科,13k-20k,上海,浦东新区,开发/测试/运维类,后端开发,平安普惠,平安普惠企业管理有限公司,2000人以上,"金融,移动互联网","成长空间,活力团队",2018-04-02 10:50:00,, 带薪年假 专项奖金 年终分红 定期体检
高级python研发工程师,5-10年,本科,15k-20k,成都,高新区,开发/测试/运维类,后端开发,路行通,成都路行通信息技术有限公司,500-2000人,"移动互联网,生活服务","高绩效奖励,多维度发展,完善福利,人性化管理",2018-04-02 09:45:37, 项目管理 架构设计 web后端, 年度旅游 岗位晋升 管理规范 定期体检
Python/web开发工程师,3-5年,本科,10k-20k,北京,,开发/测试/运维类,后端开发,闪送,北京闪送科技有限公司,150-500人,移动互联网,"发展空间,福利优厚,带薪年假,弹性工作时",2018-04-03 17:48:58,, 股票期权 岗位晋升 五险一金 高速成长
Python开发工程师,3-5年,大专,18K-35K,北京,海淀区,开发/测试/运维类,后端开发,医渡云（北京）技术有限公司,医渡云（北京）技术有限公司,150-500人,"O2O,医疗健康","十四薪,带薪年假,免费三餐,租房补助",2018-04-02 19:09:10, php MySQL redis, 节日礼物 年底双薪 股票期权 带薪年假
python工程师,3-5年,本科,15k-25k,北京,东城区,技术,后端开发,家园网,金色家园网络科技有限公司,2000人以上,O2O,绩效奖金 股票期权 14薪,2018-04-02 11:04:40,, 节日礼物 带薪年假 绩效奖金 管理规范
Python高级开发工程师,5-10年,大专,10k-15k,武汉,东湖新技术开发区,开发/测试/运维类,后端开发,北蚁,武汉北蚁网络科技有限公司,50-150人,"电子商务,移动互联网","五险一金,休闲餐点,员工聚餐",2018-03-29 18:01:32, 云计算 资深 Java golang, 年底双薪 绩效奖金 休闲餐点 五险一金
Python高级开发工程师,3-5年,本科,18k-30k,上海,长宁区,开发/测试/运维类,后端开发,爱奇艺,北京爱奇艺科技有限公司,2000人以上,"广告营销,文化娱乐",发展前景好,2018-03-08 17:59:50, flask golang django, 绩效奖金 五险一金 交通补助 带薪年假
Python开发工程师（中高级）,3-5年,本科,12k-20k,成都,高新区,开发/测试/运维类,后端开发,路行通,成都路行通信息技术有限公司,500-2000人,"移动互联网,生活服务","高绩效奖励,多维度发展,完善福利,人性化管理",2018-04-02 09:45:34, 后端开发 php Java MySQL 后端, 年度旅游 岗位晋升 管理规范 定期体检
Python开发工程师,1-3年,大专,11K-22K,杭州,西湖区,开发/测试/运维类,后端开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,"平台好,技术新,大牛多",2018-04-02 09:17:18, 云计算 高级 linux MySQL, 带薪年假 计算机软件 管理规范 定期体检
python工程师,1年以下,大专,6k-12k,上海,黄浦区,开发/测试/运维类,后端开发,推想科技,北京推想科技有限公司,50-150人,"医疗健康,数据服务","人工智能,快速成长,弹性工时,年终奖丰厚",2018-03-30 16:32:07, 医疗健康 php 数据分析 Java 数据库, 午餐补助 股票期权 定期体检 弹性工作
Python开发工程师兼高级铲屎官,1-3年,本科,8k-15k,上海,浦东新区,开发/测试/运维类,后端开发,君学中国,上海真己化人教育科技有限公司,150-500人,文化娱乐,"办公环境好,扁平化管理",2018-03-29 14:50:19, 教育 电商 媒体 php Java, 技能培训 带薪年假 岗位晋升 帅哥多
Python开发工程师,3-5年,本科,20k-40k,上海,浦东新区,开发/测试/运维类,后端开发,上海华瑞银行,上海华瑞银行股份有限公司,150-500人,金融,"六险两金,年度体检,绩效奖金,渠道晋升",2018-03-20 18:27:27, 银行 node.js Java, 绩效奖金 扁平管理 领导好 美女多
python软件工程师助理/python程序员+双,不限,大专,4k-6k,苏州,姑苏区,开发/测试/运维类,后端开发,燃网络,南京网燃网络科技有限公司,少于15人,"移动互联网,游戏","五险一金,年底双薪,节日福利,朝九晚六",2018-04-03 14:59:34, 实习 后端开发 Java PHP Android,
高级python研发工程师,5-10年,本科,20k-40k,北京,海淀区,开发/测试/运维类,后端开发,云途腾,北京云途腾科技有限责任公司,50-150人,数据服务,福利好 领导傻富甜 捎带手儿解决个人问题,2018-04-03 12:09:15, 股票 保险 云计算 解决方案 OpenStack 架构, 节日礼物 技能培训 绩效奖金 年度旅游
Python 开发工程师,1-3年,大专,10k-15k,上海,浦东新区,开发/测试/运维类,后端开发,两鲜,两鲜商贸（上海）有限公司,150-500人,电子商务,"氛围轻松,大牛带教",2018-04-03 11:23:28, 电商 后端开发 php Java, 技能培训 节日礼物 带薪年假 岗位晋升
Python开发工程师,1-3年,本科,7k-12k,南京,鼓楼区,开发/测试/运维类,后端开发,五星电器,江苏五星电器有限公司,2000人以上,"电子商务,生活服务",五险一金 工作氛围好 SAP上线中 双休,2018-04-03 09:41:23, 运维 系统工程师, 节日礼物 带薪年假 绩效奖金 年度旅游
Python 开发工程师,3-5年,本科,14k-28k,上海,徐汇区,开发/测试/运维类,后端开发,BTCC,上海掘东信息技术有限公司,50-150人,移动互联网,"比特币,数字资产,区块链,国际团队",2018-04-03 09:08:01, 高级 后端开发 架构师 全栈 OpenStack, 股票期权 带薪年假 定期体检 节日礼物
python工程师,3-5年,本科,10k-20k,成都,高新区,开发/测试/运维类,后端开发,网信集团,网信集团有限公司,2000人以上,"移动互联网,金融","六险一金,年终奖,项目奖金,下午茶",2018-04-02 18:12:32, Java, 股票期权 午餐补助 定期体检 带薪年假
Python开发工程师,1-3年,本科,10k-20k,深圳,南山区,开发/测试/运维类,后端开发,青石证券,青石经济信息咨询（深圳）有限公司,50-150人,"移动互联网,金融","潜力券商,市场蓝海,技术大牛,氛围年轻",2018-04-02 11:15:30, 金融 中级 后端开发 数据分析 Java, 风口项目 互联网金融 海外综合券商 市场蓝海
中级PYTHON开发工程师,5-10年,大专,22k-25k,深圳,福田区,开发/测试/运维类,后端开发,博奥特科技,深圳市博奥特科技有限公司,150-500人,"移动互联网,金融","提升空间大,行业前景广,金融行业",2018-04-02 08:52:08, 云计算 js mvc django, 绩效奖金 领导好 帅哥多 美女多
Python,3-5年,本科,8K-16K,西安,高新技术产业开发区,开发/测试/运维类,软件开发,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,人工智能，福利好，弹性上班,2018-03-29 17:13:17, 软件开发 图像处理 OpenCV AI 数据处理域, 带薪年假 计算机软件 管理规范 定期体检
Python开发工程师,1-3年,大专,5k-10k,郑州,金水区,开发/测试/运维类,后端开发,郑州创恒实业有限公司,郑州创恒实业有限公司,150-500人,移动互联网,"周末双休,年底双薪,全勤奖,外出旅游",2018-03-30 15:54:45, node.js php MySQL 后端, 年底双薪 节日礼物 技能培训 绩效奖金
python高级后端工程师,5-10年,本科,25k-50k,北京,海淀区,开发/测试/运维类,后端开发,Face++,北京旷视科技有限公司,500-2000人,"移动互联网,硬件",核心团队,2018-04-03 10:45:33, tornado redis django, 科技大牛公司 自助三餐 年终多薪 超长带薪假期
Python开发工程师,1-3年,本科,20k-35k,北京,海淀区,开发/测试/运维类,后端开发,今日头条,北京字节跳动科技有限公司,2000人以上,"移动互联网,数据服务",六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,2018-04-02 16:14:33, 后端开发, 扁平管理 弹性工作 大厨定制三餐 就近租房补贴
PHP/Python开发工程师,1-3年,本科,10k-15k,北京,海淀区,开发/测试/运维类,后端开发,多牛传媒,北京多牛互动传媒股份有限公司,150-500人,文化娱乐,"五险一金,周末双休",2018-04-02 16:02:01, 广告营销 MySQL 后端, 五险一金 节日礼物 弹性工作 岗位晋升
Python中级工程师,3-5年,本科,15k-24k,北京,朝阳区,开发/测试/运维类,后端开发,ZingFront智线,智线云科技（北京）有限公司,50-150人,"移动互联网,数据服务","五险一金,补充医疗险,带薪年假,弹性工作",2018-04-02 12:51:12, Java 分布式 软件工程师 架构, 绩效奖金 股票期权 带薪年假 弹性工作
Python高级开发工程师,5-10年,大专,10k-15k,武汉,东湖新技术开发区,开发/测试/运维类,后端开发,北蚁,武汉北蚁网络科技有限公司,50-150人,"电子商务,移动互联网","五险一金,绩效奖金,休闲餐点",2018-03-29 18:01:33, 云计算 爬虫 php Java, 年底双薪 绩效奖金 休闲餐点 五险一金
python软件工程师助理/python程序员双休,1年以下,大专,4k-6k,无锡,崇安区,开发/测试/运维类,后端开发,燃网络,南京网燃网络科技有限公司,少于15人,"移动互联网,游戏","年终奖,五险一金,双休不加班,节日福利",2018-04-03 14:59:33, 初级 实习 php Java c#,
Python 开发工程师,不限,本科,20k以上,上海,徐汇区,开发/测试/运维类,后端开发,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司,150-500人,"移动互联网,其他",发展空间大 期权激励 弹性工作,2018-04-03 11:12:22,, 年底双薪 股票期权 带薪年假 绩效奖金
Python工程师,1-3年,本科,10k-20k,北京,朝阳区,开发/测试/运维类,后端开发,云脑科技,杭州云脑科技有限公司,15-50人,"企业服务,数据服务","五险一金,免费午餐,饮料零食,团建、旅游",2018-04-03 10:18:25, 算法 机器学习, 年底双薪 股票期权 扁平管理 人工智能
Python,1-3年,本科,13k-16k,北京,朝阳区,开发/测试/运维类,后端开发,零用钱,北京零用钱科技有限公司,50-150人,"移动互联网,广告营销","一日四餐,六险一金,季度奖金,年度奖金",2018-04-03 09:49:06, 社交 服务器端 php Java MySQL, 年终分红 股票期权 五险一金 带薪年假
Python开发经理,5-10年,本科,20k-35k,北京,朝阳区,开发/测试/运维类,后端开发,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,移动互联网,"360旗下,靠谱大平台,薪资福利好,技术大牛多",2018-04-03 09:46:34, 金融 信息安全 资深 高级 Java, 技能培训 食堂三餐美食 细分领域第一 实干型团队！
python高级开发工程师,3-5年,本科,15k-26k,上海,静安区,开发/测试/运维类,后端开发,Zenlayer,上海层峰网络科技有限公司,50-150人,"数据服务,移动互联网","五险一金,晋升空间,团队优势,年度旅游",2018-04-03 09:04:25, web 微服务 SPA 集成项目, 五险一金 岗位晋升 年度旅游 定期体检
