职位,经验,学历要求,薪酬,所在城市,所在区,工作类型1,工作类型2,公司简称,公司全称,公司规模,行业,福利优势,发布时间,职位TAG,公司TAG
python软件工程师,1-3年,不限,10K-15K,杭州,下沙,开发/测试/运维类,软件开发,健培,杭州健培科技有限公司,150-500人,"移动互联网,医疗健康",五险一金，提供早午餐，提供宿舍，高配团队,2018-03-16 17:12:56, 软件开发, 技能培训 带薪年假 岗位晋升 年度旅游
Python工程师,1-3年,大专,15k-25k,深圳,南山区,开发/测试/运维类,后端开发,阿鹿,深圳市健康阿鹿信息科技有限公司,50-150人,"移动互联网,医疗健康","上市公司,实力雄厚,期股权激励,人性化管理",2018-04-02 10:54:31, 专家 总监 资深 php Java, 年底双薪 交通补助 带薪年假 午餐补助
高级python开发工程师,3-5年,本科,15k-30k,北京,海淀区,开发/测试/运维类,后端开发,会分期,会找房（北京）网络技术有限公司,150-500人,移动互联网、金融,"弹性工作制,股票期权,行业巨头,地铁周边",2018-04-02 09:51:21, 支付 云计算 电商 中级, 节日礼物 股票期权 带薪年假 年度旅游
Python,3-5年,本科,15k-30k,上海,杨浦区,开发/测试/运维类,后端开发,亿可能源,亿可能源科技（上海）有限公司,15-50人,"移动互联网,数据服务",技术大牛,2018-03-20 10:36:06, 后端开发 Java MySQL, 技能培训 带薪年假 绩效奖金 岗位晋升
python高级工程师,3-5年,本科,15k-25k,成都,高新区,开发/测试/运维类,后端开发,天广汇通,北京天广汇通科技有限公司,50-150人,"信息安全,数据服务","大数据,六险一金,子女商险,体检",2018-04-03 15:24:59, 大数据 后台, 股票期权 午餐补助 通讯津贴 绩效奖金
python工程师(北京),1-3年,本科,15k-25k,北京,海淀区,开发/测试/运维类,软件开发,码隆科技,深圳码隆科技有限公司,50-150人,移动互联网,发展前景广阔,2018-03-29 11:54:32, 软件开发, 技术大牛集聚 扁平管理 五险一金 领导好
高级python工程师,5-10年,本科,20k-40k,上海,长宁区,开发/测试/运维类,后端开发,再惠网络,再惠（上海）网络科技有限公司,150-500人,"移动互联网,企业服务","免费参与,业界大牛,弹性工作",2018-03-28 17:34:16, 总监 资深 中级, 午餐晚餐补助 领导亲和逗逼 丰厚股票期权 年底2-5薪
服务器端(Python)研发工程师,3-5年,不限,10k-15k,成都,高新区,开发/测试/运维类,后端开发,知道创宇,成都知道创宇信息技术有限公司,500-2000人,信息安全,"弹性工作,零食供应,六险一金,扁平管理",2018-04-03 16:32:19, 云计算 php Java, 节日礼物 岗位晋升 美女多 领导好
python研发工程师,1-3年,本科,13k-25k,北京,大兴区,开发/测试/运维类,前端开发/移动开发,翼课网,广州摩翼信息科技有限公司,500-2000人,"移动互联网 ,教育","队友奈斯,试用期全薪",2018-04-03 10:21:27, web linux Java, 节日礼物 在线教育 岗位晋升 五险一金
高级python开发,3-5年,大专,15k-30k,深圳,南山区,开发/测试/运维类,后端开发,泽林信息,深圳市泽林信息咨询有限公司,500-2000人,教育,"平台大,空间大,不加班",2018-04-03 09:07:21, MySQL, 节日礼物 技能培训 绩效奖金 年度旅游
Python开发工程师,1-3年,不限,8K-15K,珠海,,技术,后端开发,轼域科技,珠海轼域网络科技有限公司,15-50人,"移动互联网,电子商务",弹性工作、与国外大型企业合作、晋升机会大,2018-04-02 12:44:59, php MySQL 后端 阅读, 带薪年假 提供零食 绩效奖金 年度旅游
